School_code,School_name,Postcode,School_subtype,ICSEA_value,LBOTE_pct,Indigenous_pct,FOEI_Value,LGA,SA4,AECG_region,Local_health_district,Latitude,Longitude,Cluster
8888,Wiley Park Girls High School,2196,Year 7 to Year 12,957.0,95.0,1.0,143.0,Canterbury-Bankstown,Sydney - Inner South West,Metropolitan South West,Sydney,-33.924357,151.066545,2
8121,Hurlstone Agricultural High School,2167,Year 7 to Year 12,1124.0,92.0,15.594132029339853,27.0,Campbelltown (NSW),Sydney - Outer South West,Metropolitan South West,South Western Sydney,-33.970383,150.893629,0
8151,Homebush Boys High School,2140,Year 7 to Year 12,1046.0,92.0,15.594132029339853,67.0,Strathfield,Sydney - Inner West,Metropolitan South West,Sydney,-33.866059,151.077132,0
8169,Strathfield Girls High School,2135,Year 7 to Year 12,1073.0,91.0,1.0,51.0,Strathfield,Sydney - Inner West,Metropolitan South West,Sydney,-33.873901,151.084571,0
8176,Liverpool Girls High School,2170,Year 7 to Year 12,939.0,90.0,2.0,152.0,Liverpool,Sydney - South West,Metropolitan South West,South Western Sydney,-33.917986,150.931475,2
8180,Campbelltown Performing Arts High School,2560,Year 7 to Year 12,954.0,39.0,10.0,126.0,Campbelltown (NSW),Sydney - Outer South West,Dharawal,South Western Sydney,-34.060108,150.822959,1
8184,Punchbowl Boys High School,2196,Year 7 to Year 12,918.0,97.0,15.594132029339853,161.0,Canterbury-Bankstown,Sydney - Inner South West,Metropolitan South West,South Western Sydney,-33.924027,151.052954,2
8186,Liverpool Boys High School,2170,Year 7 to Year 12,916.0,88.0,3.0,166.0,Liverpool,Sydney - South West,Metropolitan South West,South Western Sydney,-33.917157,150.93154,2
8206,East Hills Boys High School,2213,Year 7 to Year 12,1011.0,84.0,1.0,95.0,Canterbury-Bankstown,Sydney - Inner South West,Metropolitan South West,South Western Sydney,-33.957229,150.994115,2
8215,Picton High School,2571,Year 7 to Year 12,949.0,10.0,11.0,123.0,Wollondilly,Sydney - Outer South West,Dharawal,South Western Sydney,-34.194467,150.608418,1
8217,Camden High School,2570,Year 7 to Year 12,981.0,11.0,8.0,103.0,Camden,Sydney - Outer South West,Dharawal,South Western Sydney,-34.0793994,150.6777325,1
8223,Bass High School,2197,Year 7 to Year 12,915.0,81.0,4.0,162.0,Canterbury-Bankstown,Sydney - Inner South West,Metropolitan South West,South Western Sydney,-33.897941,150.989379,2
8252,Strathfield South High School,2136,Year 7 to Year 12,952.0,89.0,2.0,139.0,Strathfield,Sydney - Inner West,Metropolitan South West,Sydney,-33.885382,151.071235,2
8253,Auburn Girls High School,2144,Year 7 to Year 12,959.0,97.0,1.0,136.0,Cumberland,Sydney - Parramatta,Metropolitan South West,Western Sydney,-33.84288,151.033681,2
8254,Bankstown Girls High School,2200,Year 7 to Year 12,959.0,97.0,0.0,140.0,Canterbury-Bankstown,Sydney - Inner South West,Metropolitan South West,South Western Sydney,-33.920754,151.032138,2
8255,Beverly Hills Girls High School,2209,Year 7 to Year 12,997.0,97.0,15.594132029339853,111.0,Georges River,Sydney - Inner South West,Metropolitan South West,South Eastern Sydney,-33.948461,151.078627,2
8260,Bonnyrigg High School,2177,Year 7 to Year 12,959.0,91.0,3.0,139.0,Fairfield,Sydney - South West,Metropolitan South West,South Western Sydney,-33.894982,150.893167,2
8265,Sefton High School,2162,Year 7 to Year 12,1033.0,95.0,15.594132029339853,92.0,Canterbury-Bankstown,Sydney - Parramatta,Metropolitan South West,South Western Sydney,-33.879538,151.008799,2
8269,Chester Hill High School,2162,Year 7 to Year 12,929.0,92.0,1.0,157.0,Canterbury-Bankstown,Sydney - Parramatta,Metropolitan South West,South Western Sydney,-33.874032,150.995411,2
8273,Cecil Hills High School,2171,Year 7 to Year 12,989.0,86.0,1.0,112.0,Liverpool,Sydney - South West,Metropolitan South West,South Western Sydney,-33.895704,150.852043,2
8290,John Edmondson High School,2171,Year 7 to Year 12,975.0,72.0,3.0,119.0,Liverpool,Sydney - South West,Metropolitan South West,South Western Sydney,-33.946,150.843226,2
8384,Westfields Sports High School,2165,Year 7 to Year 12,971.0,65.0,4.0,121.0,Fairfield,Sydney - South West,Metropolitan South West,South Western Sydney,-33.866933,150.920432,2
8393,Canley Vale High School,2166,Year 7 to Year 12,959.0,97.0,15.594132029339853,138.0,Fairfield,Sydney - South West,Metropolitan South West,South Western Sydney,-33.884644,150.951658,2
8394,Miller High School,2168,Year 7 to Year 12,884.0,80.0,8.0,183.0,Liverpool,Sydney - South West,Metropolitan South West,South Western Sydney,-33.923589,150.881139,2
8397,Ashcroft High School,2168,Year 7 to Year 12,882.0,69.0,14.0,176.0,Liverpool,Sydney - South West,Metropolitan South West,South Western Sydney,-33.920414,150.897272,2
8401,Lurnea High School,2170,Year 7 to Year 12,904.0,84.0,5.0,165.0,Liverpool,Sydney - South West,Metropolitan South West,South Western Sydney,-33.941743,150.896043,2
8456,Fairvale High School,2165,Year 7 to Year 12,918.0,92.0,2.0,163.0,Fairfield,Sydney - South West,Metropolitan South West,South Western Sydney,-33.873614,150.929459,2
8460,James Busby High School,2168,Year 7 to Year 12,915.0,79.0,6.0,162.0,Liverpool,Sydney - South West,Metropolitan South West,South Western Sydney,-33.908964,150.874039,2
8485,Hoxton Park High School,2168,Year 7 to Year 12,946.0,83.0,3.0,143.0,Liverpool,Sydney - South West,Metropolitan South West,South Western Sydney,-33.92,150.86162,2
8493,Airds High School,2560,Year 7 to Year 12,869.0,33.0,29.0,171.0,Campbelltown (NSW),Sydney - Outer South West,Dharawal,South Western Sydney,-34.086883,150.827109,1
8497,James Meehan High School,2564,Year 7 to Year 12,871.0,39.0,20.0,176.0,Campbelltown (NSW),Sydney - Outer South West,Metropolitan South West,South Western Sydney,-33.988351,150.892287,1
8501,Moorebank High School,2170,Year 7 to Year 12,1027.0,83.0,1.0,83.0,Liverpool,Sydney - South West,Metropolitan South West,South Western Sydney,-33.925772,150.958685,2
8521,Elderslie High School,2567,Year 7 to Year 12,992.0,20.0,6.0,104.0,Camden,Sydney - Outer South West,Dharawal,South Western Sydney,-34.052603,150.715295,1
8532,Leumeah High School,2560,Year 7 to Year 12,956.0,43.0,8.0,120.0,Campbelltown (NSW),Sydney - Outer South West,Dharawal,South Western Sydney,-34.054339,150.84737,1
8535,Concord High School,2137,Year 7 to Year 12,1071.0,69.0,2.0,50.0,Canada Bay,Sydney - Inner West,Metropolitan South West,Sydney,-33.864062,151.109271,0
8550,Fairfield High School,2165,Year 7 to Year 12,889.0,94.0,1.0,182.0,Fairfield,Sydney - South West,Metropolitan South West,South Western Sydney,-33.865214,150.958647,2
8551,Sarah Redfern High School,2566,Year 7 to Year 12,941.0,67.0,11.0,131.0,Campbelltown (NSW),Sydney - Outer South West,Metropolitan South West,South Western Sydney,-34.026782,150.85088,2
8553,Macquarie Fields High School,2564,Year 7 to Year 12,1065.0,85.0,2.0,46.0,Campbelltown (NSW),Sydney - Outer South West,Metropolitan South West,South Western Sydney,-33.996784,150.884901,0
